biostimulant;type;effect
Bioatlantis;Seaweed Extract;No effect on nutrient availability in soil or substrate
Biomin;Protein Hydrolysate;No effect on nutrient availability in soil or substrate
Comcat;Plant Extract;No effect on nutrient availability in soil or substrate
Humacare;Humic And Fluvic Acids;No effect on nutrient availability in soil or substrate
Humiplus;Humic And Fluvic Acids;No effect on nutrient availability in soil or substrate
Kelpak;Seaweed Extract;No effect on nutrient availability in soil or substrate
Seamelpure;Seaweed Extract;No effect on nutrient availability in soil or substrate
Acadian;Seaweed Extract;No effect on other
Activ 0-0-5;Seaweed Extract;No effect on other
Agbio-Endos;Mycorrhizal Fungi;No effect on other
Alginure;Seaweed Extract;No effect on other
Am 120;Mycorrhizal Fungi;No effect on other
Amino Expert Impuls;Protein Hydrolysate;No effect on other
Argicinplus;Mix Of Different Types;No effect on other
Astron;Other;No effect on other
Atonik / Chapperone / Asahi Sl;Other;No effect on other
Bactofil;Bacteria;No effect on other
Bei;Mycorrhizal Fungi;No effect on phosphorous p use efficiency
Biogenesis I Np;Mix Of Different Types;No effect on phosphorous p use efficiency
Bio-Yield;Bacteria;No effect on phosphorous p use efficiency
Cease;Bacteria;No effect on phosphorous p use efficiency
Ecoflora;Bacteria;No effect on phosphorous p use efficiency
Environoc 401;Bacteria;No effect on phosphorous p use efficiency
Essential;Mix Of Different Types;No effect on phosphorous p use efficiency
Humifirst;Humic And Fluvic Acids;No effect on phosphorous p use efficiency
Mycoapply Endomaxx;Mycorrhizal Fungi;No effect on phosphorous p use efficiency
Nature'S Source;Bacteria;No effect on phosphorous p use efficiency
Biogenesis I Np;Mix Of Different Types;No effect on potassium k use efficiency
Bio-Yield;Bacteria;No effect on potassium k use efficiency
Cease;Bacteria;No effect on potassium k use efficiency
Ecoflora;Bacteria;No effect on potassium k use efficiency
Environoc 401;Bacteria;No effect on potassium k use efficiency
Grozyme;Other;No effect on potassium k use efficiency
Humifirst;Humic And Fluvic Acids;No effect on potassium k use efficiency
Megafol;Mix Of Different Types;No effect on potassium k use efficiency
Mycoapply Endomaxx;Mycorrhizal Fungi;No effect on potassium k use efficiency
Nature'S Source;Bacteria;No effect on potassium k use efficiency
Acadian;Seaweed Extract;No effect on produce quality
Activ 0-0-5;Seaweed Extract;No effect on produce quality
Actiwave;Seaweed Extract;No effect on produce quality
Alga;Seaweed Extract;No effect on produce quality
Algaegreen;Seaweed Extract;No effect on produce quality
Algavis;Seaweed Extract;No effect on produce quality
Alginure;Seaweed Extract;No effect on produce quality
Amalgerol;Mix Of Different Types;No effect on produce quality
Amf;Mycorrhizal Fungi;No effect on produce quality
Aminoflor;Protein Hydrolysate;No effect on produce quality
Delfan Plus;Protein Hydrolysate;No effect on salt stress tolerance
Ez-Gro Chitosan;Chitosan & Biopolymers;No effect on salt stress tolerance
Kelpak;Seaweed Extract;No effect on salt stress tolerance
Mycogrowth;Bacteria;No effect on salt stress tolerance
Nutri-Stim Triacontanol;Plant Extract;No effect on salt stress tolerance
Organic Bamboo Power Bbp No.11;Plant Extract;No effect on salt stress tolerance
Wollastonite;Anorganic Elements Si, Phosphite;No effect on salt stress tolerance
Bioatlantis;Seaweed Extract;No effect on water use efficiency
Bio-F;Seaweed Extract;No effect on water use efficiency
Kelpak;Seaweed Extract;No effect on water use efficiency
Leafamine;Protein Hydrolysate;No effect on water use efficiency
Phylgreen;Seaweed Extract;No effect on water use efficiency
Seamelpure;Seaweed Extract;No effect on water use efficiency
Tnc Bactorrs13;Mix Of Different Types;No effect on water use efficiency
Expando;Mix Of Different Types;No effect on yield
Naturamin Wsp;Protein Hydrolysate;No effect on yield
Proact;Protein Hydrolysate;No effect on yield
Stimplex;Seaweed Extract;No effect on yield
4-Vita;Plant Extract;Bacteria
Abies;Plant Extract;Bacteria
Acadian;Seaweed Extract;Bacteria
Acker-Schachtelhalm Extract;Plant Extract;Bacteria
Activ 0-0-5;Seaweed Extract;Bacteria
Actiwave;Seaweed Extract;Bacteria
Adesil;Anorganic Elements Si, Phosphite;Bacteria
Aegis Argilla;Mycorrhizal Fungi;Bacteria
Aegis Micro-Granule;Bacteria;Bacteria
Afital K;Anorganic Elements Si, Phosphite;Bacteria
4-Vita;Plant Extract;Humic and fluvic acids
Abies;Plant Extract;Humic and fluvic acids
Acadian;Seaweed Extract;Humic and fluvic acids
Acker-Schachtelhalm Extract;Plant Extract;Humic and fluvic acids
Activ 0-0-5;Seaweed Extract;Humic and fluvic acids
Actiwave;Seaweed Extract;Humic and fluvic acids
Adesil;Anorganic Elements Si, Phosphite;Humic and fluvic acids
Aegis Argilla;Mycorrhizal Fungi;Humic and fluvic acids
Aegis Micro-Granule;Bacteria;Humic and fluvic acids
Afital K;Anorganic Elements Si, Phosphite;Humic and fluvic acids
4-Vita;Plant Extract;Mix of different types
Abies;Plant Extract;Mix of different types
Acadian;Seaweed Extract;Mix of different types
Acker-Schachtelhalm Extract;Plant Extract;Mix of different types
Activ 0-0-5;Seaweed Extract;Mix of different types
Actiwave;Seaweed Extract;Mix of different types
Adesil;Anorganic Elements Si, Phosphite;Mix of different types
Aegis Argilla;Mycorrhizal Fungi;Mix of different types
Aegis Micro-Granule;Bacteria;Mix of different types
Afital K;Anorganic Elements Si, Phosphite;Mix of different types
4-Vita;Plant Extract;Mycorrhizal fungi
Abies;Plant Extract;Mycorrhizal fungi
Acadian;Seaweed Extract;Mycorrhizal fungi
Acker-Schachtelhalm Extract;Plant Extract;Mycorrhizal fungi
Activ 0-0-5;Seaweed Extract;Mycorrhizal fungi
Actiwave;Seaweed Extract;Mycorrhizal fungi
Adesil;Anorganic Elements Si, Phosphite;Mycorrhizal fungi
Aegis Argilla;Mycorrhizal Fungi;Mycorrhizal fungi
Aegis Micro-Granule;Bacteria;Mycorrhizal fungi
Afital K;Anorganic Elements Si, Phosphite;Mycorrhizal fungi
4-Vita;Plant Extract;Nonmycorrhizal fungi
Abies;Plant Extract;Nonmycorrhizal fungi
Acadian;Seaweed Extract;Nonmycorrhizal fungi
Acker-Schachtelhalm Extract;Plant Extract;Nonmycorrhizal fungi
Activ 0-0-5;Seaweed Extract;Nonmycorrhizal fungi
Actiwave;Seaweed Extract;Nonmycorrhizal fungi
Adesil;Anorganic Elements Si, Phosphite;Nonmycorrhizal fungi
Aegis Argilla;Mycorrhizal Fungi;Nonmycorrhizal fungi
Aegis Micro-Granule;Bacteria;Nonmycorrhizal fungi
Afital K;Anorganic Elements Si, Phosphite;Nonmycorrhizal fungi
4-Vita;Plant Extract;Seaweed extract
Abies;Plant Extract;Seaweed extract
Acadian;Seaweed Extract;Seaweed extract
Acker-Schachtelhalm Extract;Plant Extract;Seaweed extract
Activ 0-0-5;Seaweed Extract;Seaweed extract
Actiwave;Seaweed Extract;Seaweed extract
Adesil;Anorganic Elements Si, Phosphite;Seaweed extract
Aegis Argilla;Mycorrhizal Fungi;Seaweed extract
Aegis Micro-Granule;Bacteria;Seaweed extract
Afital K;Anorganic Elements Si, Phosphite;Seaweed extract
4-Vita;Plant Extract;Annuals
Abies;Plant Extract;Annuals
Acadian;Seaweed Extract;Annuals
Acker-Schachtelhalm Extract;Plant Extract;Annuals
Activ 0-0-5;Seaweed Extract;Annuals
Actiwave;Seaweed Extract;Annuals
Adesil;Anorganic Elements Si, Phosphite;Annuals
Aegis Argilla;Mycorrhizal Fungi;Annuals
Aegis Micro-Granule;Bacteria;Annuals
Afital K;Anorganic Elements Si, Phosphite;Annuals
4-Vita;Plant Extract;Berries and small fruits
Abies;Plant Extract;Berries and small fruits
Acadian;Seaweed Extract;Berries and small fruits
Acker-Schachtelhalm Extract;Plant Extract;Berries and small fruits
Activ 0-0-5;Seaweed Extract;Berries and small fruits
Actiwave;Seaweed Extract;Berries and small fruits
Adesil;Anorganic Elements Si, Phosphite;Berries and small fruits
Aegis Argilla;Mycorrhizal Fungi;Berries and small fruits
Aegis Micro-Granule;Bacteria;Berries and small fruits
Afital K;Anorganic Elements Si, Phosphite;Berries and small fruits
4-Vita;Plant Extract;Bulb ornamentals
Abies;Plant Extract;Bulb ornamentals
Acadian;Seaweed Extract;Bulb ornamentals
Acker-Schachtelhalm Extract;Plant Extract;Bulb ornamentals
Activ 0-0-5;Seaweed Extract;Bulb ornamentals
Actiwave;Seaweed Extract;Bulb ornamentals
Adesil;Anorganic Elements Si, Phosphite;Bulb ornamentals
Aegis Argilla;Mycorrhizal Fungi;Bulb ornamentals
Aegis Micro-Granule;Bacteria;Bulb ornamentals
Afital K;Anorganic Elements Si, Phosphite;Bulb ornamentals
4-Vita;Plant Extract;Cabbage
Abies;Plant Extract;Cabbage
Acadian;Seaweed Extract;Cabbage
Acker-Schachtelhalm Extract;Plant Extract;Cabbage
Activ 0-0-5;Seaweed Extract;Cabbage
Actiwave;Seaweed Extract;Cabbage
Adesil;Anorganic Elements Si, Phosphite;Cabbage
Aegis Argilla;Mycorrhizal Fungi;Cabbage
Aegis Micro-Granule;Bacteria;Cabbage
Afital K;Anorganic Elements Si, Phosphite;Cabbage
4-Vita;Plant Extract;Cereals
Abies;Plant Extract;Cereals
Acadian;Seaweed Extract;Cereals
Acker-Schachtelhalm Extract;Plant Extract;Cereals
Activ 0-0-5;Seaweed Extract;Cereals
Actiwave;Seaweed Extract;Cereals
Adesil;Anorganic Elements Si, Phosphite;Cereals
Aegis Argilla;Mycorrhizal Fungi;Cereals
Aegis Micro-Granule;Bacteria;Cereals
Afital K;Anorganic Elements Si, Phosphite;Cereals
4-Vita;Plant Extract;Field crop plants
Abies;Plant Extract;Field crop plants
Acadian;Seaweed Extract;Field crop plants
Acker-Schachtelhalm Extract;Plant Extract;Field crop plants
Activ 0-0-5;Seaweed Extract;Field crop plants
Actiwave;Seaweed Extract;Field crop plants
Adesil;Anorganic Elements Si, Phosphite;Field crop plants
Aegis Argilla;Mycorrhizal Fungi;Field crop plants
Aegis Micro-Granule;Bacteria;Field crop plants
Afital K;Anorganic Elements Si, Phosphite;Field crop plants
4-Vita;Plant Extract;Forage plants
Abies;Plant Extract;Forage plants
Acadian;Seaweed Extract;Forage plants
Acker-Schachtelhalm Extract;Plant Extract;Forage plants
Activ 0-0-5;Seaweed Extract;Forage plants
Actiwave;Seaweed Extract;Forage plants
Adesil;Anorganic Elements Si, Phosphite;Forage plants
Aegis Argilla;Mycorrhizal Fungi;Forage plants
Aegis Micro-Granule;Bacteria;Forage plants
Afital K;Anorganic Elements Si, Phosphite;Forage plants
4-Vita;Plant Extract;Fruit vegetable crops
Abies;Plant Extract;Fruit vegetable crops
Acadian;Seaweed Extract;Fruit vegetable crops
Acker-Schachtelhalm Extract;Plant Extract;Fruit vegetable crops
Activ 0-0-5;Seaweed Extract;Fruit vegetable crops
Actiwave;Seaweed Extract;Fruit vegetable crops
Adesil;Anorganic Elements Si, Phosphite;Fruit vegetable crops
Aegis Argilla;Mycorrhizal Fungi;Fruit vegetable crops
Aegis Micro-Granule;Bacteria;Fruit vegetable crops
Afital K;Anorganic Elements Si, Phosphite;Fruit vegetable crops
4-Vita;Plant Extract;Leafy vegetables
Abies;Plant Extract;Leafy vegetables
Acadian;Seaweed Extract;Leafy vegetables
Acker-Schachtelhalm Extract;Plant Extract;Leafy vegetables
Activ 0-0-5;Seaweed Extract;Leafy vegetables
Actiwave;Seaweed Extract;Leafy vegetables
Adesil;Anorganic Elements Si, Phosphite;Leafy vegetables
Aegis Argilla;Mycorrhizal Fungi;Leafy vegetables
Aegis Micro-Granule;Bacteria;Leafy vegetables
Afital K;Anorganic Elements Si, Phosphite;Leafy vegetables
4-Vita;Plant Extract;Perennials
Abies;Plant Extract;Perennials
Acadian;Seaweed Extract;Perennials
Acker-Schachtelhalm Extract;Plant Extract;Perennials
Activ 0-0-5;Seaweed Extract;Perennials
Actiwave;Seaweed Extract;Perennials
Adesil;Anorganic Elements Si, Phosphite;Perennials
Aegis Argilla;Mycorrhizal Fungi;Perennials
Aegis Micro-Granule;Bacteria;Perennials
Afital K;Anorganic Elements Si, Phosphite;Perennials
4-Vita;Plant Extract;Pome fruits
Abies;Plant Extract;Pome fruits
Acadian;Seaweed Extract;Pome fruits
Acker-Schachtelhalm Extract;Plant Extract;Pome fruits
Activ 0-0-5;Seaweed Extract;Pome fruits
Actiwave;Seaweed Extract;Pome fruits
Adesil;Anorganic Elements Si, Phosphite;Pome fruits
Aegis Argilla;Mycorrhizal Fungi;Pome fruits
Aegis Micro-Granule;Bacteria;Pome fruits
Afital K;Anorganic Elements Si, Phosphite;Pome fruits
4-Vita;Plant Extract;Pseudocereals
Abies;Plant Extract;Pseudocereals
Acadian;Seaweed Extract;Pseudocereals
Acker-Schachtelhalm Extract;Plant Extract;Pseudocereals
Activ 0-0-5;Seaweed Extract;Pseudocereals
Actiwave;Seaweed Extract;Pseudocereals
Adesil;Anorganic Elements Si, Phosphite;Pseudocereals
Aegis Argilla;Mycorrhizal Fungi;Pseudocereals
Aegis Micro-Granule;Bacteria;Pseudocereals
Afital K;Anorganic Elements Si, Phosphite;Pseudocereals
4-Vita;Plant Extract;Pulses
Abies;Plant Extract;Pulses
Acadian;Seaweed Extract;Pulses
Acker-Schachtelhalm Extract;Plant Extract;Pulses
Activ 0-0-5;Seaweed Extract;Pulses
Actiwave;Seaweed Extract;Pulses
Adesil;Anorganic Elements Si, Phosphite;Pulses
Aegis Argilla;Mycorrhizal Fungi;Pulses
Aegis Micro-Granule;Bacteria;Pulses
Afital K;Anorganic Elements Si, Phosphite;Pulses
4-Vita;Plant Extract;Root vegetables
Abies;Plant Extract;Root vegetables
Acadian;Seaweed Extract;Root vegetables
Acker-Schachtelhalm Extract;Plant Extract;Root vegetables
Activ 0-0-5;Seaweed Extract;Root vegetables
Actiwave;Seaweed Extract;Root vegetables
Adesil;Anorganic Elements Si, Phosphite;Root vegetables
Aegis Argilla;Mycorrhizal Fungi;Root vegetables
Aegis Micro-Granule;Bacteria;Root vegetables
Afital K;Anorganic Elements Si, Phosphite;Root vegetables
4-Vita;Plant Extract;Stone fruits
Abies;Plant Extract;Stone fruits
Acadian;Seaweed Extract;Stone fruits
Acker-Schachtelhalm Extract;Plant Extract;Stone fruits
Activ 0-0-5;Seaweed Extract;Stone fruits
Actiwave;Seaweed Extract;Stone fruits
Adesil;Anorganic Elements Si, Phosphite;Stone fruits
Aegis Argilla;Mycorrhizal Fungi;Stone fruits
Aegis Micro-Granule;Bacteria;Stone fruits
Afital K;Anorganic Elements Si, Phosphite;Stone fruits
4-Vita;Plant Extract;Woody ornamentals
Abies;Plant Extract;Woody ornamentals
Acadian;Seaweed Extract;Woody ornamentals
Acker-Schachtelhalm Extract;Plant Extract;Woody ornamentals
Activ 0-0-5;Seaweed Extract;Woody ornamentals
Actiwave;Seaweed Extract;Woody ornamentals
Adesil;Anorganic Elements Si, Phosphite;Woody ornamentals
Aegis Argilla;Mycorrhizal Fungi;Woody ornamentals
Aegis Micro-Granule;Bacteria;Woody ornamentals
Afital K;Anorganic Elements Si, Phosphite;Woody ornamentals
